Company,VAN,Qté,Article
BIFA,BIFA LIV03,72,DADEY GM BLANC
BIFA,BIFA LIV03,32,CHAMIA 720 G
BIFA,BIFA LIV03,13,BRAVA MINI CHOCOLAT CACAHUETE
BIFA,BIFA LIV03,11,STORY CHOCOLAT SPECULOOS
BIFA,BIFA LIV03,1632,BRINO JUNIOR
BIFA,BIFA LIV03,13,CELEBRITY BROWNIE
BIFA,BIFA LIV03,108,MAX CREME
BIFA,BIFA LIV03,25,CHAMIA PAPILLON 350g 
BIFA,BIFA LIV03,81,MINI CELEBRITY FONDANT
BIFA,BIFA LIV03,24,BRINO CM6 CC
BIFA,BIFA LIV03,48,COOKIES CACAOTES AUX PEPITES 200g
BIFA,BIFA LIV03,11,FLORIDA CHLOROPHYLLE
BIFA,BIFA LIV03,24,PATE A TARTINER AUX NOISETTES 750g
BIFA,BIFA LIV03,96,CELEBRITY BEST TIME 9PCS
BIFA,BIFA LIV03,72,DADEY GM
BIFA,BIFA LIV03,100,WAFERS GM VANILLE
BIFA,BIFA LIV03,480,BRINO BANANE
BIFA,BIFA LIV03,36,CULINA PATE A GLACER PROFESSIONNEL
BIFA,BIFA LIV03,10,STORY CHOCOLAT NOIR 70% CACAO
BIFA,BIFA LIV03,168,CELEBRITY BEST TIME
BIFA,BIFA LIV03,15,STORY BARRE KUNAFA PISTACHE
BIFA,BIFA LIV03,300,DOLCE WAFER COCOA
BIFA,BIFA LIV03,29,SUCETTE KRISTOP FRUITE
BIFA,BIFA LIV03,1,CELEBRITY GOUTER CHOCOLAT ET BISCUIT
BIFA,BIFA LIV03,12,KRISPINO MAX
BIFA,BIFA LIV03,192,DAILY JOY 12.5CL
BIFA,BIFA LIV03,20,COOKIES FOUREE
BIFA,BIFA LIV03,192,BESBOUSSA
BIFA,BIFA LIV03,72,MAX CREME NOIR
BIFA,BIFA LIV03,15,TALENT AUX CACAHOUETES
BIFA,BIFA LIV03,100,BESTO CACAO
BIFA,BIFA LIV03,264,BESTO BLANCO X4
BIFA,BIFA LIV03,7,BRAVA CHOCOLAT CACAHUETE
BIFA,BIFA LIV03,240,TORTO
BIFA,BIFA LIV03,10,LE MOSAIQUE X4
BIFA,BIFA LIV03,14,MINI TALENT NOISETTES ET RAISINS SECS 70G
BIFA,BIFA LIV03,360,BRINO NOIR VANILLE
BIFA,BIFA LIV03,72,BESTO NOIRCO 4PCS
BIFA,BIFA LIV03,576,CELEBRITY FONDANT
BIFA,BIFA LIV03,450,DUNAROLL ROUGE
BIFA,BIFA LIV03,192,MARSHMALLOW NOIX DE COCO X4
BIFA,BIFA LIV03,32,BALBON REGLISE
BIFA,BIFA LIV03,270,DAILY COCKTAIL 20CL
BIFA,BIFA LIV03,23,KRISPINO WAFER
BIFA,BIFA LIV03,20,MONTANA
BIFA,BIFA LIV03,72,PETIT PALMIERS CHOCOLAT
BIFA,BIFA LIV03,16,ROND GAUF AU CACAHUETE
BIFA,BIFA LIV03,108,BENITO CM6
BIFA,BIFA LIV03,54,BALBON FRUITE
BIFA,BIFA LIV03,48,BESTO NOIR PM
BIFA,BIFA LIV03,168,BONITO PEANUTS
