antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'IDOL FINGER 6 '}),frozenset({'IDOL FINGER 3'}),0.08239700374531835,0.1348314606741573,0.06741573033707865,0.8181818181818182,6.068181818181818,1.0,0.056306021966923366,4.758426966292136,0.910204081632653,0.45000000000000007,0.7898465171192445,0.6590909090909092
frozenset({'IDOL FINGER 3'}),frozenset({'IDOL FINGER 6 '}),0.1348314606741573,0.08239700374531835,0.06741573033707865,0.5,6.068181818181818,1.0,0.056306021966923366,1.8352059925093633,0.9653679653679653,0.45000000000000007,0.45510204081632655,0.6590909090909092
frozenset({'AVANTAGE'}),frozenset({'FAMELIO'}),0.09737827715355805,0.10674157303370786,0.05056179775280899,0.5192307692307692,4.864372469635627,1.0,0.040167487270125826,1.8579775280898874,0.8801290917473491,0.32926829268292684,0.4617803580067731,0.49645748987854244
frozenset({'FAMELIO'}),frozenset({'AVANTAGE'}),0.10674157303370786,0.09737827715355805,0.05056179775280899,0.47368421052631576,4.864372469635627,1.0,0.040167487270125826,1.7149812734082395,0.8893547635686001,0.32926829268292684,0.4169032539855863,0.49645748987854244
frozenset({'WAFERS GM VANILLE'}),frozenset({'WAFERS GM CC'}),0.11610486891385768,0.12921348314606743,0.07116104868913857,0.6129032258064515,4.743338008415146,1.0,0.056158734166561454,2.249531835205992,0.8928412132024979,0.40860215053763427,0.5554630593132153,0.5818139317438054
frozenset({'WAFERS GM CC'}),frozenset({'WAFERS GM VANILLE'}),0.12921348314606743,0.11610486891385768,0.07116104868913857,0.5507246376811593,4.743338008415146,1.0,0.056158734166561454,1.9673794853207678,0.9062818336162988,0.40860215053763427,0.4917096536477523,0.5818139317438054
frozenset({'CELEBRITY TWIN'}),frozenset({'DOLCE WAFER COCOA'}),0.10299625468164794,0.10861423220973783,0.052434456928838954,0.5090909090909091,4.687147335423198,1.0,0.041247597806113145,1.81578582327646,0.8769758425290783,0.32941176470588235,0.4492742551566082,0.49592476489028214
frozenset({'DOLCE WAFER COCOA'}),frozenset({'CELEBRITY TWIN'}),0.10861423220973783,0.10299625468164794,0.052434456928838954,0.4827586206896552,4.687147335423198,1.0,0.041247597806113145,1.7342072409488143,0.8825030012004802,0.32941176470588235,0.42336764811748623,0.49592476489028214
frozenset({'DAILY\xa0JOY\xa012.5CL'}),frozenset({'DAILY COCKTAIL 20CL'}),0.12172284644194757,0.1198501872659176,0.05805243445692884,0.47692307692307695,3.9793269230769233,1.0,0.043463928516320895,1.6826393478739814,0.8524657816906251,0.3163265306122449,0.40569558101472997,0.4806490384615385
frozenset({'DAILY COCKTAIL 20CL'}),frozenset({'DAILY\xa0JOY\xa012.5CL'}),0.1198501872659176,0.12172284644194757,0.05805243445692884,0.484375,3.979326923076923,1.0,0.043463928516320895,1.7033253887186472,0.8506520247083047,0.3163265306122449,0.41291311300639655,0.4806490384615385
frozenset({'DOLCE WAFER COCOA'}),frozenset({'CELEBRITY MINI BAR'}),0.10861423220973783,0.1254681647940075,0.052434456928838954,0.4827586206896552,3.847658260422028,1.0,0.038806828542972974,1.6907615480649192,0.8302821128451381,0.288659793814433,0.4085505427157941,0.45033453422542463
frozenset({'CELEBRITY MINI BAR'}),frozenset({'DOLCE WAFER COCOA'}),0.1254681647940075,0.10861423220973783,0.052434456928838954,0.41791044776119407,3.847658260422028,1.0,0.038806828542972974,1.5313550369730147,0.846283267054145,0.288659793814433,0.3469835695472219,0.45033453422542463
frozenset({'BESTO NOIR PM'}),frozenset({'WAFERS GM CC'}),0.11797752808988764,0.12921348314606743,0.056179775280898875,0.47619047619047616,3.685300207039337,1.0,0.040935487943441484,1.6624106230847804,0.8261146496815286,0.29411764705882354,0.39846390168970813,0.45548654244306414
frozenset({'WAFERS GM CC'}),frozenset({'BESTO NOIR PM'}),0.12921348314606743,0.11797752808988764,0.056179775280898875,0.4347826086956521,3.685300207039337,1.0,0.040935487943441484,1.5605012964563525,0.8367741935483871,0.29411764705882354,0.35918028247022976,0.45548654244306414
frozenset({'BRINO BANANE'}),"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",0.12172284644194757,0.13108614232209737,0.056179775280898875,0.4615384615384615,3.520879120879121,1.0,0.04022359690835893,1.6136971642589617,0.8152096659559346,0.2857142857142857,0.3803050397877984,0.44505494505494503
"frozenset({'CELEBRITY FONDANT', 'BRINO JUNIOR'})",frozenset({'BRINO BANANE'}),0.13108614232209737,0.12172284644194757,0.056179775280898875,0.4285714285714286,3.520879120879121,1.0,0.04022359690835893,1.5369850187265919,0.8239942528735632,0.2857142857142857,0.349375571123972,0.44505494505494503
