Company,Article,Total_Qty_Sold
NITA,PÂTE À MÂCHER FRUITÉS SAC GM 400S,59.0
NITA,BUBBLE GUM MENTHE BOITE N204B,57.0
NITA,NITA BROWNIE,57.0
NITA,CAPRICE  CHOCO SAC N102,49.0
NITA,BUBBLE GUM F-R BOITE N202B,48.0
NITA,CHEWING GUM STICK PASTÈQUE 5×20 N212,44.0
NITA,NITA MUFFINS COCOA CHOCOLAT,44.0
NITA,CHEWING GUM STICK MENTHE 5×20 N210,43.0
NITA,NITA MOLTO,37.0
NITA,CAPRICE STICK CHOCO N307,30.0
NITA,BUBBLE GUM FRUITS ROUGES SAC N202,29.0
NITA,CREME CHANTILLY NAWAL 5KG SAC,24.0
NITA,CAPRICE CAFÉ SAC N105,23.0
NITA,PÂTE À MÂCHER STICK FRUITÉS BOITE 401B,21.0
NITA,CAPRICE MENTHE 104,20.0
NITA,NITA PERFECTO,20.0
NITA,BUBBLE GUM MULTI FRUITS SAC N201,15.0
NITA,CAPRICE STICK TOFFEE BOITE N306,12.0
NITA,MINI CHOOPITOS 48Pcs,10.0
NITA,NITA MOLTO GM,10.0
NITA,PÂTE À MÂCHER STICK FRUITÉS PM N404,10.0
NITA,CHOOPITOS BAR,9.0
NITA,FLAN NAWAL 100GR PROMOTION,9.0
NITA,NITA RIVA,9.0
NITA,NITA SPECULOOS,9.0
NITA,CAPRICE  CHOCO BOITE N302,8.0
NITA,CAPRICE  TOFFEE BOITE 301B,8.0
NITA,CAPRICE CAFE 305 B,8.0
NITA,CAPRICE TOFFEE SAC N101,7.0
NITA,NITA PIPINO PISTACHIO,7.0
NITA,NITA SO WAFER CHOCOLAT,7.0
NITA,CREME CHANTILLY 02KG ABIAPRO BOITE,6.0
NITA,CREME CHANTILLY 05KG ABIAPRO SAC Bnina Bezaf,6.0
NITA,CAPRICE RÉGLISSE SAC N103,5.0
NITA,CREME CHANTILLY 02KG PRESTY,5.0
NITA,CREME CHANTILLY ABIAPRO HAYLA + 2KG,5.0
NITA,BOUILLON EN CUBE NAWAL 10GR PROMOTION,4.0
NITA,NITA MARSHMALLOW,4.0
NITA,VANILLE 60G,4.0
NITA,CREME DE RIZ 120GR,3.0
NITA,NITA GRAND BISCUIT CHOCOLAT,3.0
NITA,NITA SELECTION KUNAFA PISTACHE,3.0
NITA,CREME CHANTILLY 50GR,2.0
NITA,NITA GRANO,2.0
NITA,CREME CHANTILLY 200GR SACHET,1.0
NITA,CREME DESSERT CHOCO 50GR,1.0
NITA,LEVURE CHIMIQUE NAWAL 10GR,1.0
NITA,NITA GRAND BISCUIT VANILLE FRAISE,1.0
